,time,SCE
1065,2001-01-29,1
1066,2001-02-05,1
1067,2001-02-12,1
1068,2001-02-19,1
1069,2001-02-26,1
1070,2001-03-05,1
1071,2001-03-12,1
1072,2001-03-19,1
1073,2001-03-26,1
1074,2001-04-02,1
1075,2001-04-09,1
1076,2001-04-16,0
1077,2001-04-23,0
1078,2001-04-30,0
1079,2001-05-07,0
1080,2001-05-14,0
1081,2001-05-21,0
1082,2001-05-28,0
1083,2001-06-04,0
1084,2001-06-11,0
1085,2001-06-18,0
1086,2001-06-25,0
1087,2001-07-02,0
1088,2001-07-09,0
1089,2001-07-16,0
1090,2001-07-23,0
1091,2001-07-30,0
1092,2001-08-06,0
1093,2001-08-13,0
1094,2001-08-20,0
1095,2001-08-27,0
1096,2001-09-03,0
1097,2001-09-10,0
1098,2001-09-17,0
1099,2001-09-24,0
1100,2001-10-01,0
1101,2001-10-08,0
1102,2001-10-15,0
1103,2001-10-22,0
1104,2001-10-29,0
1105,2001-11-05,0
1106,2001-11-12,0
1107,2001-11-19,0
1108,2001-11-26,1
1109,2001-12-03,1
1110,2001-12-10,1
1111,2001-12-17,0
1112,2001-12-24,1
1113,2001-12-31,1
1114,2002-01-07,1
1115,2002-01-14,1
1116,2002-01-21,1
1117,2002-01-28,1
1118,2002-02-04,1
1119,2002-02-11,1
1120,2002-02-18,0
1121,2002-02-25,1
1122,2002-03-04,1
1123,2002-03-11,1
1124,2002-03-18,0
1125,2002-03-25,1
1126,2002-04-01,0
1127,2002-04-08,0
1128,2002-04-15,0
1129,2002-04-22,0
1130,2002-04-29,0
1131,2002-05-06,0
1132,2002-05-13,0
1133,2002-05-20,0
1134,2002-05-27,0
1135,2002-06-03,0
1136,2002-06-10,0
1137,2002-06-17,0
1138,2002-06-24,0
1139,2002-07-01,0
1140,2002-07-08,0
1141,2002-07-15,0
1142,2002-07-22,0
1143,2002-07-29,0
1144,2002-08-05,0
1145,2002-08-12,0
1146,2002-08-19,0
1147,2002-08-26,0
1148,2002-09-02,0
1149,2002-09-09,0
1150,2002-09-16,0
1151,2002-09-23,0
1152,2002-09-30,0
1153,2002-10-07,0
1154,2002-10-14,0
1155,2002-10-21,0
1156,2002-10-28,0
1157,2002-11-04,0
1158,2002-11-11,0
1159,2002-11-18,0
1160,2002-11-25,0
1161,2002-12-02,0
1162,2002-12-09,1
1163,2002-12-16,0
1164,2002-12-23,1
1165,2002-12-30,1
1166,2003-01-06,1
1167,2003-01-13,1
1168,2003-01-20,1
1169,2003-01-27,1
1170,2003-02-03,1
1171,2003-02-10,1
1172,2003-02-17,1
1173,2003-02-24,1
1174,2003-03-03,1
1175,2003-03-10,1
1176,2003-03-17,0
1177,2003-03-24,0
1178,2003-03-31,0
1179,2003-04-07,0
1180,2003-04-14,0
1181,2003-04-21,0
1182,2003-04-28,0
1183,2003-05-05,0
1184,2003-05-12,0
1185,2003-05-19,0
1186,2003-05-26,0
1187,2003-06-02,0
1188,2003-06-09,0
1189,2003-06-16,0
1190,2003-06-23,0
1191,2003-06-30,0
1192,2003-07-07,0
1193,2003-07-14,0
1194,2003-07-21,0
1195,2003-07-28,0
1196,2003-08-04,0
1197,2003-08-11,0
1198,2003-08-18,0
1199,2003-08-25,0
1200,2003-09-01,0
1201,2003-09-08,0
1202,2003-09-15,0
1203,2003-09-22,0
1204,2003-09-29,0
1205,2003-10-06,0
1206,2003-10-13,0
1207,2003-10-20,0
1208,2003-10-27,0
1209,2003-11-03,1
1210,2003-11-10,1
1211,2003-11-17,0
1212,2003-11-24,1
1213,2003-12-01,1
1214,2003-12-08,1
1215,2003-12-15,1
1216,2003-12-22,0
1217,2003-12-29,1
1218,2004-01-05,1
1219,2004-01-12,1
1220,2004-01-19,1
1221,2004-01-26,1
1222,2004-02-02,1
1223,2004-02-09,1
1224,2004-02-16,1
1225,2004-02-23,1
1226,2004-03-01,1
1227,2004-03-08,1
1228,2004-03-15,1
1229,2004-03-22,0
1230,2004-03-29,0
1231,2004-04-05,0
1232,2004-04-12,0
1233,2004-04-19,0
1234,2004-04-26,0
1235,2004-05-03,0
1236,2004-05-10,0
1237,2004-05-17,0
1238,2004-05-24,0
1239,2004-05-31,0
1240,2004-06-07,0
1241,2004-06-14,0
1242,2004-06-21,0
1243,2004-06-28,0
1244,2004-07-05,0
1245,2004-07-12,0
1246,2004-07-19,0
